Date,Well,Row,Column,Cell line,Sensor,Ligand,Ligand dose [ng/ml],Ligand time [min],Drug,Drug dose [nM],Drug time [min],Start time of early response analysis [min],End time of early response analysis [min],Start time of late response analysis [min],End time of late response analysis [min],Pulsatile threshold,Cell ID,Early PC1,Early PC2,Early PC3,Late PC1,Late PC2,Amplitude,nEdge,SNR,peak duration,peak distance,pulsatile score
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,5,NaN,NaN,NaN,0.108252,0.176342,0.0189243,17,33.5363,103.423,130.587,0.591727
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,7,-0.165665,-0.13452,-0.0071777,0.366739,0.206819,0.0202823,7,37.1062,NaN,188.404,0.172334
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,8,-0.0871443,0.0507347,0.00815134,0.200991,-0.0316647,0.0130652,3,37.1447,NaN,NaN,0.0670802
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,11,-0.0815005,0.074962,0.0597,0.397509,0.141024,0.0165241,7,30.0925,168.218,NaN,0.153398
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,12,-0.140097,0.0293008,0.0336444,-0.0152837,0.245872,0.0140076,4,41.8779,194.385,NaN,0.109709
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,15,-0.486434,0.0535321,0.149266,-0.0935071,0.463408,0.0526965,28,47.4763,74.0513,96.0421,1.90366
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,16,-0.262383,0.00951777,0.0675476,0.00920648,0.392331,0.0214703,7,39.031,123.359,170.46,0.295325
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,17,-0.238867,-0.0857541,0.103431,-0.273981,0.255084,0.0133511,5,29.517,104.669,NaN,0.14334
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,19,-0.209285,-0.0207664,0.0891361,-0.0471007,0.347931,0.0203352,5,35.7671,266.656,NaN,0.113741
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,25,-0.149844,0.0144936,0.000973916,0.227438,0.25884,0.0212009,12,37.3239,149.527,191.394,0.353094
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,32,-0.2584,-0.0499354,0.0243048,-0.306112,0.229174,0.0247552,10,37.8996,112.145,228.963,0.35028
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,33,-0.450886,0.206181,-0.0161539,0.150907,0.162755,0.050981,36,34.3626,64.5457,78.9413,2.23757
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,34,-0.135612,-0.105115,0.00730227,0.0864375,0.221787,0.00962175,7,18.9684,100.931,NaN,0.131293
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,35,-0.108819,0.0585636,0.0321556,0.335381,0.013338,0.0199624,14,33.3281,92.5196,127.098,0.565402
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,36,-0.105092,0.122879,0.00616906,0.500459,0.0357516,0.0110376,3,21.2181,142.05,NaN,0.0696507
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,37,-0.170879,0.0907539,0.025471,0.121451,0.0697393,0.0279503,19,37.003,79.9393,114.344,0.926641
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,42,-0.450886,0.206181,-0.0161539,0.279683,0.333532,0.0513947,19,59.1873,93.9882,107.747,1.36405
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,44,-0.193309,0.0929045,-0.0027431,0.459594,0.0963678,0.0151938,7,29.4109,100.93,293.072,0.192615
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,47,-0.238642,-0.0121739,0.0989725,-0.017274,0.25641,0.0281319,16,37.0444,106.912,133.506,0.66307
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,49,NaN,NaN,NaN,0.329602,-0.135764,0.0408013,32,34.6544,70.056,82.7381,1.80832
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,50,-0.293862,0.00359485,0.11607,-0.346588,0.467445,0.0314106,16,53.5709,98.6876,169.82,0.763413
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,54,-0.124893,0.0950506,0.125228,-0.209368,0.09826,0.0153012,11,25.6866,166.615,214.322,0.221963
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,55,-0.179495,0.176916,0.00735981,0.341687,-0.146201,0.0166543,17,28.1299,88.8853,160.492,0.505319
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,56,-0.152716,0.0764182,0.0704145,0.475322,0.231264,0.0194959,9,33.5257,102.177,233.902,0.293959
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,57,-0.206739,0.164304,0.0459799,0.627973,0.112767,0.0265411,11,30.8828,107.873,278.286,0.318938
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,58,NaN,NaN,NaN,0.0958834,0.172519,0.0234269,16,41.3478,91.9589,143.652,0.685077
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,60,-0.118901,0.0262629,0.104102,-0.016982,0.162268,0.0188576,16,34.1033,123.775,148.459,0.490723
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,61,NaN,NaN,NaN,0.000747207,0.00858983,0.0259914,17,31.1405,90.339,116.631,0.717589
20130722,1,1,1,184A1,F3aN400Venus+NLSmCherry,EGF,100,0,CI-1040,10,-75,-69.2333,72.9333,77.9333,1573.2,0.3,62,-0.175094,0.0233483,-0.0157744,0.104002,0.229903,0.00855554,4,19.5045,85.9778,112.145,0.156227
